OPERATION_PRODUCT,OPERATION_ID,EMPLOYEE_ID,MACHINE_CODE,SHIFT,HOUR,OT_FLAG,PLANED_QUANTITY,PM_EMPLOYEE_ID,IS_SCRAP
9259076592.TRIM,O0072,E057,PP11,General,2,0,1150,E1010,0
9259076592.RELEASE_PUNCH,O0059,E057,PP12,General,1,0,206,E1010,0
9259076592.TOP_HOLES_PIERCE,O0070,E057,PP13,General,1,0,206,E1010,0
9259076592.TOP_HOLES_PIERCE,O0070,E057,PP13,General,2,0,1150,E1010,0
100261280.BLANK,O0019,E1024,BL01,General,1,0,2030,E1024,1
100261520.BLANK,O0019,E1024,BL01,General,2,0,682,E1024,0
9254916692.3RD_DRAW,O0004,E1033,HP03,General,1,0,392,E1043,0
FD203113.PART,O0123,E1037,PP03,General,1,0,576,E1043,0
FD203213.PART,O0123,E1037,PP03,General,2,0,576,E1043,1
FD202513.BLANK,O0019,E1037,PP03,General,3,0,560,E1043,0
FD202613.BLANK,O0019,E1037,PP03,General,4,0,560,E1043,0
FL202413.BLANK_4_HOLES_PIERCE,O0091,E1031,PP06,General,1,0,1040,E1043,0
F1105313-WHEEL_NUT.BLANK,O0019,E1031,PP06,General,2,0,700,E1015,1
B5437304-F2866213.U_FOLD,O0096,E1035,HP02,General,1,0,124,E1043,0
B5437305-F2866313.U_FOLD,O0096,E1035,HP02,General,2,0,124,E1043,0
F2835013.FOLD,O0037,E1035,HP02,General,3,0,500,E1043,0
FD203113.RIB_FORM,O0132,E1032,PP04,General,1,0,576,E1043,0
FD203213.RIB_FORM,O0132,E1032,PP04,General,2,0,576,E1043,0
FL202413.FORM,O0041,E1029,PP03,General,1,0,1040,E1043,0
FD202513.CROP,O0102,E1032,PP03,General,1,0,560,E1043,0
FD202613.CROP,O0102,E1032,PP03,General,2,0,560,E1043,0
100261520.2ND_DRAW,O0003,E039,HP04,General,1,0,682,E1043,1
B5437304-F2866213.PARTNO_PUNCH,O0127,E1035,MP01,General,1,0,504,E1043,0
FD203113.TRIM_4_HOLES_PIERCE,O0149,E1027,PP04,General,1,0,576,E1043,0
FD203213.TRIM_4_HOLES_PIERCE,O0149,E1027,PP04,General,2,0,576,E1043,0
FD202513.FOLD,O0037,E1027,PP04,General,3,0,560,E1043,1
FD202613.FOLD,O0037,E1027,PP04,General,4,0,560,E1043,0
FD202613.PART,O0123,E1029,PP04,General,2,0,560,E1043,0
100261280.1ST_DRAW,O0002,E1011,PP09,General,1,0,240,E1010,0
100261280.1ST_DRAW,O0002,E1011,PP09,General,3,0,240,E1010,0
100261280.1ST_DRAW,O0002,E1011,PP09,General,4,0,100,E1010,0
100261280.2ND_DRAW,O0003,E1011,PP10,General,1,0,180,E1010,0
100261280.2ND_DRAW,O0003,E1011,PP10,General,3,0,230,E1010,0
100261280.2ND_DRAW,O0003,E1011,PP10,General,4,0,100,E1010,0
100261280.TRIM,O0072,E1011,PP11,General,1,0,180,E1010,0
100261280.TRIM,O0072,E1011,PP11,General,2,0,220,E1010,1
100261280.TRIM,O0072,E1011,PP11,General,3,0,230,E1010,0
100261280.TRIM,O0072,E1011,PP11,General,4,0,100,E1010,0
100261280.9_HOLES_PIERCE,O0010,E1011,PP12,General,1,0,180,E1010,0
100261280.9_HOLES_PIERCE,O0010,E1011,PP12,General,2,0,220,E1010,0
100261280.9_HOLES_PIERCE,O0010,E1011,PP12,General,4,0,100,E1010,1
100261280.EMBOSS,O0030,E1011,PP13,General,1,0,180,E1010,0
100261280.EMBOSS,O0030,E1011,PP13,General,2,0,220,E1010,0
100261280.EMBOSS,O0030,E1011,PP13,General,3,0,230,E1010,0
B5425112.SPOT_WELD,O0068,E1052,SW01,General,1,0,500,E1010,0
B0Y17752.SPOT_WELD,O0068,E1052,SW01,General,2,0,525,E1010,0
B0Y17728.SPOT_WELD,O0068,E1052,SW01,General,3,0,372,E1010,0
B5425112.SPOT_WELD,O0068,E1052,SW01,General,4,0,1480,E1010,0
F2835013.PARTNO_PUNCH,O0127,E1029,MP01,General,1,0,500,E1043,0
F2835113.PARTNO_PUNCH,O0127,E1029,MP01,General,2,0,500,E1043,1
100261280.1ST_DRAW,O0002,E1011,PP09,Second,1,0,200,E1043,0
100261280.1ST_DRAW,O0002,E1011,PP09,Second,3,0,200,E1043,0
100261280.1ST_DRAW,O0002,E1011,PP09,Second,4,0,200,E1043,0
100261280.1ST_DRAW,O0002,E1011,PP09,Second,5,0,200,E1043,0
100261280.2ND_DRAW,O0003,E1011,PP10,Second,1,0,200,E1043,0
100261280.2ND_DRAW,O0003,E1011,PP10,Second,2,0,300,E1043,0
100261280.2ND_DRAW,O0003,E1011,PP10,Second,3,0,200,E1043,1
100261280.2ND_DRAW,O0003,E1011,PP10,Second,4,0,200,E1043,0
100261280.2ND_DRAW,O0003,E1011,PP10,Second,5,0,200,E1043,0
100261280.2ND_DRAW,O0003,E1011,PP10,Second,6,0,200,E1043,0
100261280.TRIM,O0072,E1011,PP11,Second,1,0,200,E1043,0
100261280.TRIM,O0072,E1011,PP11,Second,2,0,300,E1043,1
100261280.TRIM,O0072,E1011,PP11,Second,4,0,200,E1043,0
100261280.TRIM,O0072,E1011,PP11,Second,5,0,200,E1043,0
100261280.TRIM,O0072,E1011,PP11,Second,6,0,200,E1043,0
100261280.9_HOLES_PIERCE,O0010,E1011,PP12,Second,1,0,200,E1043,1
100261280.9_HOLES_PIERCE,O0010,E1011,PP12,Second,2,0,300,E1043,0
100261280.9_HOLES_PIERCE,O0010,E1011,PP12,Second,3,0,200,E1043,0
100261280.9_HOLES_PIERCE,O0010,E1011,PP12,Second,4,0,200,E1043,0
100261280.9_HOLES_PIERCE,O0010,E1011,PP12,Second,6,0,200,E1043,0
100261280.EMBOSS,O0030,E1011,PP13,Second,2,0,300,E1043,0
100261280.EMBOSS,O0030,E1011,PP13,Second,3,0,200,E1043,1
100261280.EMBOSS,O0030,E1011,PP13,Second,4,0,200,E1043,0
F1105313-WHEEL_NUT.BLANK,O0019,E1031,PP06,General,1,0,300,E1015,0
9700515532-9709050284.BLANK,O0019,E1031,PP06,General,2,0,680,E1043,0
100261520.BLANK,O0019,E1024,BL01,General,1,0,1170,E1024,0
100261281.BLANK,O0019,E1024,BL01,General,2,0,1010,E1024,1
9254916692.1ST_DRAW,O0002,E057,HP06,General,1,0,5,E1015,0
FL205913.SPOT_WELD,O0068,E1052,SW01,General,2,0,524,E1010,0
100261281.EMBOSS,O0030,E1011,PP10,General,1,0,230,E1010,0
9254916692.2ND_DRAW,O0003,E1028,HP04,General,1,0,5,E1015,0
